Job_Title,Rating,Location,Headquarters,Founded	,ownership	,Industry,Sector,Revenue,Competitors	,Easy_Apply,Estimated_min_salary,Estimated_max_salary,Min_size,Max_size
Data Analyst,4.9,"New York, NY","New York, NY",2006,Company - Private,Internet,Information Technology, Non-Applicable,Unknown,False,37,66,51,200
Data Analyst,4.4,"New York, NY","Mountain View, CA",1998,Company - Public,Internet,Information Technology,$10+ billion (USD),"Microsoft, Apple, Facebook",False,37,66,1100,1500
Data Science Analyst,-1.0,"New York, NY","Marina del Rey, CA",2017,Company - Public,Unknown,Unknown, Non-Applicable,Unknown,False,37,66,51,200
Data Analyst,3.3,"New York, NY","Sydney, Australia",1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),"Goldman Sachs, Commonwealth Bank of Australia, Deutsche Bank",False,37,66,1100,1500
Data Analyst,3.5,"New York, NY","Warren, MI",2017,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),Unknown,False,37,66,201,500
Junior Data Analyst,3.8,"New York, NY","Columbus, OH",2017,Unknown,Unknown,Unknown, Non-Applicable,Unknown,False,37,66,1,50
Data Analyst,4.0,"New York, NY","San Francisco, CA",2017,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),Unknown,False,37,66,1,50
Reporting Data Analyst,5.0,"New York, NY","Pittsburgh, PA",2011,Company - Private,Internet,Information Technology,$10 to $25 million (USD),Unknown,False,37,66,201,500
Data Analyst,4.8,"New York, NY","New York, NY",2017,Company - Private,Health Care Services & Hospitals,Health Care, Non-Applicable,Unknown,False,37,66,51,200
Data Analyst,3.7,"New York, NY","New York, NY",2017,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),Unknown,False,37,66,1,50
Data Analyst,4.7,"New York, NY","Washington, DC",2017,Company - Private,Research & Development,Business Services, Non-Applicable,Unknown,False,37,66,1,50
Data Analyst,3.6,"Brooklyn, NY","Seattle, WA",2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),Unknown,True,46,87,51,200
Data Analyst,3.6,"Jersey City, NJ","Newtown, PA",2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),Unknown,False,46,87,1,50
Data Analyst,3.5,"New York, NY","Piscataway, NJ",2017,Contract,Unknown,Unknown,Less than $1 million (USD),Unknown,False,46,87,1,50
Data Science Analyst,3.2,"New York, NY","San Francisco, CA",2011,Company - Private,Lending,Finance, Non-Applicable,Unknown,False,46,87,1001,5000
Data Analyst,-1.0,"New York, NY",Unknown ,2017,Unknown,Unknown,Unknown, Non-Applicable,Unknown,False,46,87,51,
Analyst-Data Integrity,3.7,"New York, NY","Charlotte, NC",1904,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),Unknown,False,46,87,1100,1500
Data Business Analyst,-1.0,"New York, NY","New York, NY",2018,Company - Public,Unknown,Unknown,$1 to $5 million (USD),Unknown,False,46,87,51,200
Data Analyst,3.6,"New York, NY","Westmont, IL",2017,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),Unknown,False,46,87,1,50
Data Science Analyst,4.0,"New York, NY","New York, NY",1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",False,46,87,1100,1500
Data Analyst,4.6,"New York, NY","West Hollywood, CA",2017,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD),Unknown,False,46,87,51,200
Data Business Analyst,-1.0,"New York, NY","New York, NY",2017,Company - Private,Unknown,Unknown, Non-Applicable,Unknown,False,46,87,1,50
Big data analyst,-1.0,"New York, NY","Kyiv, Ukraine",2017,Company - Public,Unknown,Unknown, Non-Applicable,Unknown,False,46,87,1001,5000
Data Analyst,5.0,"New York, NY","Santa Monica, CA",2016,Company - Private,Unknown,Unknown, Non-Applicable,Unknown,False,46,87,51,200
Data Analyst,4.0,"New York, NY","Cherry Hill, NJ",2017,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),Unknown,False,46,87,1,50
Data Analyst,3.0,"New York, NY","New York, NY",2013,Company - Private,Internet,Information Technology, Non-Applicable,"Hired, Indeed, AngelList",False,46,87,201,500
Data Analyst,2.9,"New York, NY","Cleveland, OH",1956,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),Unknown,False,46,87,1001,5000
Advance Data Analyst,4.0,"New York, NY","San Francisco, CA",2017,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),Unknown,False,46,87,1,50
Data Analyst,3.6,"New York, NY","New York, NY",2007,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),"Criteo, AppNexus, dataxu",True,46,87,501,1000
Marketing Data Analyst,4.9,"New York, NY","New York, NY",1990,Company - Private,Brokerage Services,Finance, Non-Applicable,Unknown,False,46,87,1,50
Sr Data Analyst,3.9,"New York, NY","San Jose, CA",2002,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),Unknown,False,46,87,1001,5000
Sr Data Analyst,4.0,"New York, NY","Burbank, CA",1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",False,46,87,1100,1500
Operations Data Analyst,3.8,"New York, NY","Chicago, IL",1990,Company - Private,Unknown,Unknown,$50 to $100 million (USD),"Soros Fund Management, D. E. Shaw & Co. - Investment Firm, Fortress Investment Group",False,46,87,1001,5000
Data Business Analyst,3.7,"Jersey City, NJ","Sunnyvale, CA",1990,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"Persistent Systems (India), GlobalLogic, Synechron",False,46,87,1001,5000
Sr Data Analyst,3.6,"New York, NY","New York, NY",2015,Company - Private,Brokerage Services,Finance, Non-Applicable,Unknown,False,46,87,51,200
Data Science Analyst,3.6,"Weehawken, NJ","Hauppauge, NY",1969,Company - Public,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),Unknown,False,46,87,201,500
Data Reporting Analyst,-1.0,"New York, NY",Unknown ,2017,Unknown,Unknown,Unknown, Non-Applicable,Unknown,False,46,87,51,
Principal Data Analyst,4.0,"New York, NY","Burbank, CA",1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",False,46,87,1100,1500
Data Analyst,3.2,"New York, NY","New York, NY",1951,Company - Private,Legal,Accounting & Legal,$500 million to $1 billion (USD),Unknown,False,46,87,1001,5000
Data Analyst,3.8,"New York, NY","New York, NY",1981,Company - Private,Computer Hardware & Software,Information Technology, Non-Applicable,"Google, Goldman Sachs, Thomson Reuters",False,46,87,1100,1500
Data Analyst,3.9,"New York, NY","New York, NY",2000,Company - Private,Real Estate,Real Estate,$25 to $50 million (USD),Unknown,False,46,87,51,200
Data Analyst,4.8,"New York, NY","New York, NY",2017,Company - Private,Health Care Services & Hospitals,Health Care, Non-Applicable,Unknown,False,51,88,51,200
Data Analyst,3.6,"New York, NY","Saint Louis, MO",1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),Unknown,False,51,88,1001,5000
Data Analyst,3.6,"New York, NY","Saint Louis, MO",1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),Unknown,False,51,88,1001,5000
Data Analyst,3.6,"New York, NY","Saint Louis, MO",1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),Unknown,False,51,88,1001,5000
Junior Data Analyst,4.1,"New York, NY","Tampa, FL",1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),Unknown,False,51,88,1100,1500
Data Analyst,3.9,"New York, NY","Paris, France",2005,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"MediaMath, Conversant, AppNexus",False,51,88,1001,5000
Data Analyst,3.0,"New York, NY","New York, NY",2017,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),Unknown,False,51,88,1,50
Data Analyst,3.7,"New York, NY","New York, NY",1939,Company - Private,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD),"Fidelity Investments, BlackRock, Putnam Investments",False,51,88,1001,5000
Data Science Analyst,-1.0,"New York, NY",Unknown ,2017,Unknown,Unknown,Unknown, Non-Applicable,Unknown,False,51,88,51,200
Data Analyst,3.9,"New York, NY","Princeton, NJ",2002,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),Unknown,False,51,88,501,1000
Data Analyst,3.7,"New York, NY","South Plainfield, NJ",1999,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),"Artech Information Systems, Mindlance, Tech Mahindra",False,51,88,51,200
Entry Level Data Analyst,-1.0,"New York, NY","New York, NY",2017,Company - Private,Consulting,Business Services, Non-Applicable,Unknown,False,51,88,1,50
Marketing Data Analyst,3.6,"New York, NY","Colorado Springs, CO",2017,Company - Public,Unknown,Unknown, Non-Applicable,Unknown,False,51,88,201,500
Data Analyst,3.7,"New York, NY","New York, NY",1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Unknown,False,51,88,1100,1500
Data Business Analyst,3.6,"New York, NY","New York, NY",2017,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),Unknown,False,51,88,501,1000
Information Security Data Analyst,4.1,"New York, NY","New York, NY",1945,Government,Federal Agencies,Government, Non-Applicable,Unknown,False,51,88,1100,1500
Media Science Big Data Analyst,3.5,"New York, NY","New York, NY",1985,Company - Public,TV Broadcast & Cable Networks,Media,$5 to $10 billion (USD),Unknown,False,51,88,1100,1500
Data Analyst,3.7,"Jersey City, NJ","Atlanta, GA",2017,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services, Non-Applicable,Unknown,False,51,88,1001,5000
Data Analyst,5.0,"New York, NY","New York, NY (US), NY",2017,Company - Private,Unknown,Unknown, Non-Applicable,Unknown,False,51,88,1,50
Data Analyst,4.0,"New York, NY","Cherry Hill, NJ",2017,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),Unknown,False,51,88,1,50
Data Analyst,4.8,"New York, NY","Fremont, CA",2017,Company - Private,Unknown,Unknown, Non-Applicable,Unknown,False,51,88,51,200
Data Analyst,5.0,"New York, NY","Los Angeles, CA",2017,Company - Private,Internet,Information Technology, Non-Applicable,Unknown,False,51,88,1,50
TX Healthcare Data/Reporting Analyst,3.3,"New York, NY","New York, NY",2003,Company - Private,Research & Development,Business Services, Non-Applicable,"Coleman Research, AlphaSights, Third Bridge",True,51,88,501,1000
Automotive Data Analyst,4.1,"New York, NY","New York, NY",1984,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),Unknown,False,51,88,501,1000
Data Analyst,4.0,"New York, NY","Plainsboro, NJ",2017,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),Unknown,False,51,88,1,50
Data Analyst,-1.0,"New York, NY","Dublin, Ireland",2017,Company - Private,Unknown,Unknown, Non-Applicable,Unknown,False,51,88,51,200
Data Analyst,1.0,"New York, NY","New York, NY",2017,Company - Private,IT Services,Information Technology,Less than $1 million (USD),Unknown,False,51,88,1,50
Data Analyst,3.1,"New York, NY","Alexandria, VA",2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),Unknown,False,51,88,51,200
Radar Data Analyst,4.5,"New York, NY","New York, NY",2004,Company - Private,Insurance Carriers,Insurance, Non-Applicable,Unknown,True,51,88,1001,5000
Data Analyst,3.4,"New York, NY","Washington, DC",2007,Nonprofit Organization,Brokerage Services,Finance,$500 million to $1 billion (USD),Unknown,False,51,88,1001,5000
Data Analyst,-1.0,"New York, NY",Unknown ,2017,Unknown,Unknown,Unknown, Non-Applicable,Unknown,False,51,87,51,200
Data Analyst,3.6,"New York, NY","New York, NY",1962,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),Unknown,False,51,87,1001,5000
Data Analyst,4.1,"New York, NY","Irvine, CA",1996,Company - Public,Consulting,Business Services,$500 million to $1 billion (USD),"Deloitte, Huron Consulting Group, Point B",False,51,87,1001,5000
Data Analyst,4.4,"New York, NY","Irving, TX",2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),Unknown,False,51,87,201,500
Data Analyst,3.8,"Jersey City, NJ","Glen Allen, VA",1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"TEKsystems, Insight Global, Accenture",True,51,87,1001,5000
Data Analyst,3.2,"New York, NY","Evanston, IL",2017,Company - Private,Consulting,Business Services,$1 to $5 million (USD),Unknown,False,51,87,1,50
Data Analyst,-1.0,"New York, NY","San Mateo, CA",2017,Company - Private,Food & Beverage Stores,Retail, Non-Applicable,Unknown,False,51,87,1,50
Data Business Analyst,3.8,"New York, NY","North Brunswick, NJ",2017,Company - Private,Consulting,Business Services, Non-Applicable,Unknown,False,51,87,501,1000
Data Analyst,4.7,"Brooklyn, NY","Brooklyn, NY",2017,Unknown,Health Care Services & Hospitals,Health Care, Non-Applicable,Unknown,False,51,87,201,500
TX Healthcare Data/Reporting Analyst,2.3,"New York, NY","New York, NY",2017,Nonprofit Organization,Unknown,Unknown,$10 to $25 million (USD),Unknown,False,51,87,1,50
Supply Chain Data Analyst,3.8,"New York, NY","New York, NY",2012,Company - Public,"Health, Beauty, & Fitness",Consumer Services, Non-Applicable,Unknown,True,51,87,1001,5000
Data Analyst,4.6,"New York, NY","Troy, MI",2011,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),Unknown,False,51,87,201,500
Analyst-Data Integrity,3.0,"New York, NY","Charlotte, NC",1967,Company - Public,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),Unknown,False,51,87,1001,5000
Data Analyst,3.9,"New York, NY","New York, NY",1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Unknown,False,51,87,1100,1500
Data Analyst,3.0,"Long Island City, NY","New York, NY",2017,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),Unknown,False,51,87,201,500
Reporting Data Analyst,4.2,"New York, NY","New York, NY",2017,Company - Private,Unknown,Unknown, Non-Applicable,Unknown,False,51,87,51,200
Data Analyst,5.0,"New York, NY","Yorktown Heights, NY",2017,Company - Private,Consulting,Business Services,$5 to $10 million (USD),Unknown,False,51,87,51,200
Data Analyst,4.0,"New York, NY","Northville, MI",2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),Unknown,False,51,87,501,1000
Data Analyst,-1.0,"Brooklyn, NY","Brooklyn, NY",2017,School / School District,Unknown,Unknown, Non-Applicable,Unknown,False,51,87,51,200
Data Analyst,-1.0,"Jersey City, NJ",Unknown ,2017,Unknown,Unknown,Unknown, Non-Applicable,Unknown,False,51,87,51,200
Junior Data Analyst,3.6,"Jersey City, NJ","New York, NY",2017,Company - Private,IT Services,Information Technology, Non-Applicable,Unknown,True,51,87,51,200
Data Analyst,3.7,"New York, NY","New York, NY",1918,Company - Public,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),"Jefferies, Piper Sandler, FBR",False,51,87,501,1000
Data Reporting Analyst,3.5,"New York, NY","Menlo Park, CA",1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"Adecco, Manpower",False,51,87,1100,1500
Data Analyst,2.8,"New York, NY","New York, NY",1994,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),"Ibotta, GutCheck",False,51,87,51,200
Data Analyst,5.0,"New York, NY","New York, NY",2014,Company - Private,Staffing & Outsourcing,Business Services, Non-Applicable,Unknown,False,51,87,1,50
Data Analyst,3.8,"Jersey City, NJ","Paris, France",1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Accenture, CGI, Sopra Steria",False,51,87,1100,1500
Data Analyst,3.4,"New York, NY","Bronx, NY",1895,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),Unknown,False,51,87,1001,5000
Data Analyst,3.6,"Florham Park, NJ","Florham Park, NJ",2004,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),Unknown,False,51,87,501,1000
TX Healthcare Data/Reporting Analyst,-1.0,"New York, NY","New York, NY",2018,Company - Private,Health Care Services & Hospitals,Health Care, Non-Applicable,Unknown,False,51,87,1,50
Operations Data Analyst,3.2,"New York, NY","New York, NY",2017,Nonprofit Organization,Insurance Carriers,Insurance,$100 to $500 million (USD),Unknown,False,51,87,1001,5000
Data Analyst,3.8,"New York, NY","New York, NY",2017,Other Organization,"Health, Beauty, & Fitness",Consumer Services, Non-Applicable,Unknown,False,59,85,51,200
Data Analyst,3.5,"New York, NY","New York, NY",1845,Company - Private,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),Unknown,False,59,85,1100,1500
Marketing Data Analyst,3.5,"New York, NY","New York, NY",1968,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),Unknown,False,59,85,1,50
Data Analyst,4.1,"Jersey City, NJ","New York, NY",2017,Company - Private,Unknown,Unknown, Non-Applicable,Unknown,False,59,85,1,50
Junior Data Analyst,5.0,"New York, NY","Woodridge, IL",2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),Unknown,False,59,85,51,200
Microsoft Dynamics CRM Data Analyst,3.7,"New York, NY","Armonk, NY",1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Amazon, Accenture, Microsoft",False,59,85,1100,1500
Data Analyst,4.0,"Manhasset, NY","Lake Success, NY",1997,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD),"Catholic Health System, NewYork-Presbyterian Hospital",False,59,85,1100,1500
Data Business Analyst,3.3,"New York, NY","London, United Kingdom",1995,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Unknown,False,59,85,201,500
Data Analyst,2.9,"New York, NY","New York, NY",2015,Company - Private,Internet,Information Technology, Non-Applicable,Unknown,False,59,85,1,50
Enterprise Data Quality Analyst - EDM,3.6,"New York, NY","Toronto, Canada",1832,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),RBC,False,59,85,1100,1500
Data Analyst,3.2,"New York, NY","New York, NY",2009,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD),Unknown,False,59,85,201,500
Data Analyst,3.1,"New York, NY","Lenexa, KS",2017,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),Unknown,False,59,85,51,200
Data Business Analyst,3.4,"Newark, NJ","New York, NY",2017,Contract,Staffing & Outsourcing,Business Services, Non-Applicable,Unknown,False,59,85,201,500
Data Analyst,4.0,"New York, NY","Northville, MI",2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),Unknown,False,59,85,501,1000
Advance Data Analyst,4.3,"New York, NY","Cincinnati, OH",2017,Company - Private,TV Broadcast & Cable Networks,Media,$5 to $10 million (USD),Unknown,False,59,85,51,200
Data Analyst,2.7,"Jersey City, NJ","London, United Kingdom",1934,Company - Public,Gambling,"Arts, Entertainment & Recreation",$2 to $5 billion (USD),Sky Betting & Gaming,True,59,85,1100,1500
Sr Data Analyst,4.1,"New York, NY","New York, NY",1998,Subsidiary or Business Segment,Video Games,Media,$10 to $25 million (USD),Unknown,False,59,85,1001,5000
Data Analyst,4.4,"Brooklyn, NY","Baltimore, MD",2017,Company - Private,Unknown,Unknown,$1 to $5 million (USD),Unknown,False,59,85,1,50
Marketing Data Analyst,3.1,"New York, NY","Burlington, MA",1990,Subsidiary or Business Segment,IT Services,Information Technology,$100 to $500 million (USD),"IQVIA, GlobalData",False,59,85,1001,5000
Data Analyst,3.0,"New York, NY","Pleasantville, NY",2017,Company - Private,Unknown,Unknown, Non-Applicable,Unknown,False,59,85,1,50
Logistics Data Analyst,2.9,"New York, NY","Singapore, Singapore",2017,Company - Private,Accounting,Accounting & Legal, Non-Applicable,Unknown,False,59,85,201,500
Data Collection Analyst,3.9,"New York, NY","New York, NY",1938,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),Unknown,False,59,85,1100,1500
Data Analyst,4.2,"New York, NY","New Brunswick, NJ",2008,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),Unknown,False,59,85,201,500
Data Analyst,3.9,"Queens Village, NY","Mumbai, India",2002,Company - Private,Research & Development,Business Services, Non-Applicable,Unknown,False,59,85,1001,5000
Student Data Analyst,4.2,"New York, NY","New York, NY",1963,Nonprofit Organization,Colleges & Universities,Education,$100 to $500 million (USD),Unknown,False,59,85,1100,1500
Data Quality Analyst,-1.0,"New York, NY","Bethesda, MD",1996,Company - Private,Architectural & Engineering Services,Business Services,$1 to $5 million (USD),Unknown,False,59,85,1,50
Data Governance Analyst,5.0,"New York, NY","Yorktown Heights, NY",2017,Company - Private,Consulting,Business Services,$5 to $10 million (USD),Unknown,False,59,85,51,200
Data Business Analyst,3.9,"New York, NY","Seattle, WA",1994,Company - Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",False,59,85,1100,1500
Data Analyst,3.4,"Brooklyn, NY",Unknown ,2017,Company - Private,Unknown,Unknown, Non-Applicable,Unknown,False,59,85,51,200
Data Analyst,2.9,"New York, NY","Singapore, Singapore",2017,Company - Private,Accounting,Accounting & Legal, Non-Applicable,Unknown,False,59,85,201,500
Data Analyst,4.0,"New York, NY","New York, NY",1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",False,43,76,1100,1500
TX Healthcare Data/Reporting Analyst,3.6,"New York, NY","New York, NY",2013,Company - Private,Health Care Services & Hospitals,Health Care, Non-Applicable,"Honor, HomeHero",False,43,76,51,200
Data Analyst,3.4,"New York, NY","New York, NY",2013,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),Unknown,False,43,76,1100,1500
Data Analyst,-1.0,"New York, NY",Unknown ,2017,Unknown,Unknown,Unknown, Non-Applicable,Unknown,False,43,76,51,200
Data Analyst,3.3,"New York, NY","Dublin, OH",1992,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),Unknown,False,43,76,51,200
Data Analyst,3.2,"New York, NY","Bloomingdale, IL",2017,Company - Private,Unknown,Unknown,$25 to $50 million (USD),Unknown,False,43,76,201,500
Data Analyst,3.8,"New York, NY","New York, NY",1977,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD),Unknown,False,43,76,51,200
Data Analyst,-1.0,"New York, NY",Unknown ,2017,Unknown,Unknown,Unknown, Non-Applicable,Unknown,False,43,76,51,200
Data Analyst,3.4,"New York, NY","New York, NY",2013,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),Unknown,False,43,76,1100,1500
Data Analyst,3.2,"New York, NY","New York, NY",2009,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD),Unknown,False,43,76,201,500
Big data analyst,3.2,"Newark, NJ","Louisville, KY",2017,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$10 to $25 million (USD),Unknown,False,43,76,51,200
Analyst-Data Integrity,3.3,"New York, NY","New York, NY",2000,Company - Private,Research & Development,Business Services, Non-Applicable,"Gartner, Forrester, IDC",False,43,76,201,500
Data Analyst,-1.0,"New York, NY",Unknown ,2017,Unknown,Unknown,Unknown, Non-Applicable,Unknown,False,43,76,51,200
Financial - Data Analyst,3.8,"New York, NY","New York, NY",2015,Company - Private,Enterprise Software & Network Solutions,Information Technology, Non-Applicable,Unknown,False,43,76,51,200
Data Analyst,3.3,"New York, NY","Dublin, OH",1992,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),Unknown,False,43,76,51,200
Data Business Analyst,4.1,"New York, NY","New York, NY",1998,Subsidiary or Business Segment,Video Games,Media,$10 to $25 million (USD),Unknown,False,43,76,1001,5000
Sr Data Analyst,2.9,"New York, NY","New York, NY",2015,Company - Private,Internet,Information Technology, Non-Applicable,Unknown,False,43,76,1,50
Lead Geophysical Data Analyst,-1.0,"Brooklyn, NY","New York, NY",2017,Unknown,Unknown,Unknown, Non-Applicable,Unknown,False,43,76,51,200
Research Data Analyst,3.4,"New York, NY","Washington, DC",1984,Company - Private,Consulting,Business Services,$100 to $500 million (USD),"Edelman, Burson-Marsteller, FleishmanHillard",False,43,76,501,1000
Data Management Analyst,2.5,"Brooklyn, NY","Brooklyn, NY",1886,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),Unknown,False,43,76,201,500
Data Business Analyst,4.4,"Weehawken, NJ","Princeton, NJ",2017,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),Unknown,False,43,76,1,50
